0.970004 -0.243088, -0.970004 0.243088, 0 0
0.628105 0.356988, 0.450484 -0.318919, -1.07859 -0.0380692
0.617616 0.356365, 0.461549 -0.322969, -1.07916 -0.0333964
0.607009 0.35542, 0.472619 -0.326696, -1.07963 -0.0287239
0.596326 0.354265, 0.483693 -0.330214, -1.08002 -0.0240514
0.585633 0.353073, 0.494766 -0.333694, -1.0804 -0.0193789
0.574795 0.351379, 0.505815 -0.336672, -1.08061 -0.0147067
0.563957 0.34968, 0.516863 -0.339646, -1.08082 -0.0100345
0.553056 0.34769, 0.527877 -0.342327, -1.08093 -0.00536234
0.542103 0.34545, 0.538861 -0.344759, -1.08096 -0.000690232
0.531146 0.343184, 0.549841 -0.347166, -1.08099 0.00398188
0.520116 0.340405, 0.560726 -0.349059, -1.08084 0.00865404
0.509086 0.337622, 0.571609 -0.350948, -1.0807 0.0133262
0.498035 0.334545, 0.582416 -0.352543, -1.08045 0.0179985
0.486966 0.33123, 0.593162 -0.3539, -1.08013 0.0226708
0.475896 0.327871, 0.603893 -0.355214, -1.07979 0.0273432
0.464824 0.324036, 0.614466 -0.356052, -1.07929 0.0320159
0.453751 0.320195, 0.625036 -0.356884, -1.07879 0.0366885
0.442695 0.316053, 0.635483 -0.357414, -1.07818 0.0413614
0.431652 0.311708, 0.645846 -0.357742, -1.0775 0.0460343
0.420616 0.307299, 0.656178 -0.358006, -1.07679 0.0507073
0.40963 0.302468, 0.666302 -0.357848, -1.07593 0.0553805
0.398645 0.297632, 0.676423 -0.357685, -1.07507 0.0600536
0.387714 0.292501, 0.686373 -0.357228, -1.07409 0.0647267
0.376813 0.287201, 0.696225 -0.3566, -1.07304 0.0693997
0.365928 0.281836, 0.706034 -0.355909, -1.07196 0.0740727
0.355134 0.276096, 0.71559 -0.354841, -1.07072 0.0787451
0.344341 0.270352, 0.725144 -0.353769, -1.06948 0.0834176
0.333625 0.264352, 0.7345 -0.352441, -1.06812 0.0880891
0.322956 0.258195, 0.743734 -0.350955, -1.06669 0.0927602
0.312299 0.252004, 0.752938 -0.349435, -1.06524 0.097431
0.301769 0.245462, 0.761832 -0.347561, -1.0636 0.102099
0.29124 0.238916, 0.770722 -0.345684, -1.06196 0.106768
0.280785 0.232191, 0.779432 -0.343625, -1.06022 0.111434
0.270403 0.225291, 0.787965 -0.341389, -1.05837 0.116099
0.260023 0.218387, 0.796495 -0.33915, -1.05652 0.120763
0.249779 0.211194, 0.804692 -0.336616, -1.05447 0.125421
0.239551 0.203968, 0.812851 -0.334047, -1.0524 0.130079
0.229364 0.196663, 0.820907 -0.331398, -1.05027 0.134735
0.219289 0.189145, 0.828684 -0.328529, -1.04797 0.139384
0.209215 0.181625, 0.836457 -0.325657, -1.04567 0.144032
0.199228 0.173954, 0.844003 -0.322627, -1.04323 0.148674
0.189303 0.166175, 0.851387 -0.319484, -1.04069 0.153309
0.179379 0.158394, 0.858767 -0.316339, -1.03815 0.157945
0.169575 0.15042, 0.86581 -0.312986, -1.03539 0.162566
0.159792 0.142414, 0.872797 -0.309598, -1.03259 0.167184
0.150022 0.134386, 0.87974 -0.306186, -1.02976 0.171799
0.140366 0.126189, 0.886332 -0.302583, -1.0267 0.176394
0.130711 0.11799, 0.892921 -0.298978, -1.02363 0.180988
0.12109 0.109742, 0.89939 -0.295316, -1.02048 0.185574
0.111546 0.101386, 0.905586 -0.291523, -1.01713 0.190137
0.102003 0.0930274, 0.911778 -0.287728, -1.01378 0.1947
0.0925018 0.0846125, 0.917791 -0.283858, -1.01029 0.199245
0.0830498 0.0761309, 0.923595 -0.279899, -1.00665 0.203769
0.0735985 0.0676484, 0.929396 -0.27594, -1.00299 0.208291
0.0641865 0.0591143, 0.934975 -0.271899, -0.999162 0.212785
0.0548031 0.0505427, 0.940394 -0.267799, -0.995197 0.217257
0.0454202 0.0419705, 0.945809 -0.263699, -0.991229 0.221728
0.0360655 0.0333622, 0.950977 -0.259519, -0.987042 0.226157
0.0267249 0.0247357, 0.956019 -0.2553, -0.982744 0.230564
0.0173846 0.0161089, 0.961058 -0.251079, -0.978442 0.23497
0.00805508 0.00746848, 0.965893 -0.246802, -0.973948 0.239333
