t theta omega
7.80845 0.954016 -0.242695
7.82628 0.949049 -0.31408
7.84406 0.942838 -0.38462
7.86178 0.935403 -0.454282
7.87946 0.926766 -0.523023
7.89708 0.916948 -0.590791
7.91466 0.905975 -0.657525
7.93219 0.893873 -0.723153
7.94966 0.880673 -0.787597
7.96707 0.866409 -0.85077
7.98441 0.85112 -0.912582
8.00167 0.834849 -0.972941
8.01883 0.817644 -1.03175
8.03589 0.799553 -1.08893
8.05284 0.78063 -1.14439
8.06965 0.760931 -1.19805
8.08634 0.740511 -1.24985
8.10287 0.719428 -1.29972
8.11926 0.697736 -1.34762
8.13549 0.675492 -1.3935
8.15156 0.652747 -1.43733
8.16746 0.629552 -1.4791
8.1832 0.605955 -1.51879
8.19878 0.582 -1.5564
8.2142 0.557728 -1.59192
8.22946 0.533178 -1.62537
8.24456 0.508384 -1.65676
8.25952 0.483379 -1.6861
8.27434 0.458191 -1.7134
8.28902 0.432847 -1.7387
8.30358 0.407371 -1.76202
8.31801 0.381784 -1.78336
8.33233 0.356106 -1.80276
8.34654 0.330354 -1.82024
8.36066 0.304545 -1.83582
8.37469 0.278693 -1.84953
8.38864 0.252811 -1.86137
8.40251 0.226912 -1.87138
8.41632 0.201007 -1.87957
8.43008 0.175107 -1.88595
8.44379 0.14922 -1.89055
8.45746 0.123357 -1.89337
8.47109 0.0975257 -1.89442
8.48471 0.0717348 -1.89373
8.49831 0.0459923 -1.8913
8.51191 0.0203062 -1.88713
8.5255 -0.00531584 -1.88123
8.53911 -0.0308659 -1.87361
8.55274 -0.0563361 -1.86427
8.56639 -0.0817184 -1.85322
8.58008 -0.107005 -1.84045
8.59382 -0.132186 -1.82596
8.60761 -0.157254 -1.80975
8.62146 -0.182198 -1.79181
8.63538 -0.20701 -1.77214
8.64939 -0.231677 -1.75074
8.66348 -0.256189 -1.72759
8.67767 -0.280533 -1.70269
8.69197 -0.304695 -1.67602
8.70639 -0.328661 -1.64757
8.72094 -0.352415 -1.61734
8.73563 -0.375939 -1.58529
8.75047 -0.399214 -1.55143
8.76547 -0.422219 -1.51573
8.78064 -0.444931 -1.47818
8.79599 -0.467323 -1.43877
8.81154 -0.489369 -1.39748
8.82728 -0.511036 -1.3543
8.84324 -0.53229 -1.30922
8.85942 -0.553094 -1.26224
8.87583 -0.573406 -1.21335
8.89247 -0.593181 -1.16257
8.90936 -0.612369 -1.1099
8.92649 -0.630916 -1.05538
8.94387 -0.648767 -0.999036
8.96149 -0.665858 -0.940933
8.97934 -0.682127 -0.881141
8.99742 -0.697506 -0.819752
9.01572 -0.711929 -0.756881
9.03421 -0.72533 -0.692667
9.05286 -0.737644 -0.627267
9.07166 -0.748813 -0.560861
9.09058 -0.758785 -0.493644
9.10957 -0.767516 -0.425821
9.1286 -0.774974 -0.357601
9.14766 -0.781135 -0.289192
9.16669 -0.785989 -0.22079
9.18569 -0.789535 -0.152579
9.20462 -0.791781 -0.0847212
9.22347 -0.792743 -0.0173616
9.24224 -0.792442 0.0493768
9.2609 -0.790904 0.115389
9.27945 -0.788158 0.180586
9.2979 -0.784232 0.24489
9.31624 -0.779159 0.308231
9.33448 -0.77297 0.370546
9.3526 -0.765698 0.431773
9.37061 -0.757378 0.491852
9.38852 -0.748043 0.550723
9.40631 -0.737731 0.608324
9.42399 -0.726479 0.664596
9.44155 -0.714326 0.719479
9.45898 -0.701313 0.772914
9.47629 -0.687484 0.824845
9.49347 -0.672879 0.875219
9.51051 -0.657545 0.92399
9.52742 -0.641524 0.971112
9.54418 -0.624861 1.01655
9.5608 -0.607601 1.06027
9.57728 -0.589785 1.10224
9.59361 -0.571455 1.14245
9.60979 -0.552652 1.18088
9.62583 -0.533415 1.21751
9.64173 -0.513781 1.25235
9.65749 -0.493784 1.28539
9.67311 -0.473457 1.31663
9.6886 -0.452833 1.34608
9.70396 -0.431939 1.37374
9.7192 -0.410804 1.39963
9.73433 -0.389452 1.42374
9.74934 -0.367908 1.44611
9.76425 -0.346193 1.46674
9.77906 -0.324328 1.48564
9.79378 -0.302332 1.50282
9.80841 -0.280223 1.51831
9.82297 -0.258019 1.53211
9.83746 -0.235733 1.54424
9.85188 -0.213382 1.55471
9.86625 -0.19098 1.56354
9.88057 -0.168538 1.57073
9.89485 -0.14607 1.5763
9.90909 -0.123588 1.58025
9.92331 -0.101103 1.5826
9.9375 -0.0786269 1.58335
9.95169 -0.0561695 1.58251
9.96587 -0.0337418 1.58009
9.98006 -0.0113542 1.57609
9.99425 0.010983 1.57052
10 0.0200012 1.56782
